'0:00.000',-0.061
'0:00.002',-0.063
'0:00.004',-0.066
'0:00.006',-0.062
'0:00.008',-0.066
'0:00.010',-0.068
'0:00.013',-0.065
'0:00.015',-0.059
'0:00.017',-0.054
'0:00.019',-0.056
'0:00.021',-0.050
'0:00.023',-0.044
'0:00.025',-0.049
'0:00.027',-0.049
'0:00.029',-0.046
'0:00.031',-0.042
'0:00.033',-0.038
'0:00.035',-0.040
'0:00.038',-0.040
'0:00.040',-0.034
'0:00.042',-0.029
'0:00.044',-0.028
'0:00.046',-0.028
'0:00.048',-0.023
'0:00.050',-0.015
'0:00.052',-0.012
'0:00.054',-0.013
'0:00.056',-0.005
'0:00.058',0.004
'0:00.060',0.002
'0:00.063',0.006
'0:00.065',0.012
'0:00.067',0.015
'0:00.069',0.018
'0:00.071',0.024
'0:00.073',0.032
'0:00.075',0.038
'0:00.077',0.042
'0:00.079',0.043
'0:00.081',0.051
'0:00.083',0.060
'0:00.085',0.063
'0:00.088',0.071
'0:00.090',0.077
'0:00.092',0.083
'0:00.094',0.089
'0:00.096',0.094
'0:00.098',0.098
'0:00.100',0.109
'0:00.102',0.122
'0:00.104',0.120
'0:00.106',0.120
'0:00.108',0.134
'0:00.110',0.139
'0:00.113',0.133
'0:00.115',0.138
'0:00.117',0.147
'0:00.119',0.151
'0:00.121',0.154
'0:00.123',0.156
'0:00.125',0.160
'0:00.127',0.165
'0:00.129',0.166
'0:00.131',0.170
'0:00.133',0.173
'0:00.135',0.175
'0:00.138',0.181
'0:00.140',0.179
'0:00.142',0.176
'0:00.144',0.175
'0:00.146',0.166
'0:00.148',0.164
'0:00.150',0.165
'0:00.152',0.155
'0:00.154',0.147
'0:00.156',0.137
'0:00.158',0.128
'0:00.160',0.123
'0:00.163',0.106
'0:00.165',0.089
'0:00.167',0.084
'0:00.169',0.078
'0:00.171',0.065
'0:00.173',0.050
'0:00.175',0.035
'0:00.177',0.027
'0:00.179',0.021
'0:00.181',0.010
'0:00.183',-0.004
'0:00.185',-0.010
'0:00.188',-0.018
'0:00.190',-0.031
'0:00.192',-0.031
'0:00.194',-0.035
'0:00.196',-0.046
'0:00.198',-0.052
'0:00.200',-0.059
'0:00.202',-0.060
'0:00.204',-0.063
'0:00.206',-0.070
'0:00.208',-0.073
'0:00.210',-0.079
'0:00.213',-0.081
'0:00.215',-0.082
'0:00.217',-0.089
'0:00.219',-0.088
'0:00.221',-0.085
'0:00.223',-0.092
'0:00.225',-0.093
'0:00.227',-0.089
'0:00.229',-0.088
'0:00.231',-0.090
'0:00.233',-0.098
'0:00.235',-0.100
'0:00.238',-0.098
'0:00.240',-0.098
'0:00.242',-0.098
'0:00.244',-0.099
'0:00.246',-0.098
'0:00.248',-0.092
'0:00.250',-0.095
'0:00.252',-0.100
'0:00.254',-0.093
'0:00.256',-0.092
'0:00.258',-0.098
'0:00.260',-0.098
'0:00.263',-0.094
'0:00.265',-0.089
'0:00.267',-0.089
'0:00.269',-0.094
'0:00.271',-0.093
'0:00.273',-0.088
'0:00.275',-0.088
'0:00.277',-0.088
'0:00.279',-0.081
'0:00.281',-0.074
'0:00.283',-0.078
'0:00.285',-0.087
'0:00.288',-0.088
'0:00.290',-0.085
'0:00.292',-0.088
'0:00.294',-0.083
'0:00.296',-0.081
'0:00.298',-0.077
'0:00.300',-0.073
'0:00.302',-0.081
'0:00.304',-0.078
'0:00.306',-0.074
'0:00.308',-0.073
'0:00.310',-0.072
'0:00.313',-0.078
'0:00.315',-0.077
'0:00.317',-0.071
'0:00.319',-0.076
'0:00.321',-0.074
'0:00.323',-0.070
'0:00.325',-0.072
'0:00.327',-0.072
'0:00.329',-0.074
'0:00.331',-0.076
'0:00.333',-0.071
'0:00.335',-0.073
'0:00.338',-0.077
'0:00.340',-0.070
'0:00.342',-0.068
'0:00.344',-0.072
'0:00.346',-0.071
'0:00.348',-0.073
'0:00.350',-0.070
'0:00.352',-0.065
'0:00.354',-0.071
'0:00.356',-0.072
'0:00.358',-0.071
'0:00.360',-0.073
'0:00.363',-0.078
'0:00.365',-0.078
'0:00.367',-0.074
'0:00.369',-0.077
