'0:00.000',0.142
'0:00.004',0.133
'0:00.008',0.128
'0:00.012',0.117
'0:00.016',0.117
'0:00.020',0.122
'0:00.024',0.138
'0:00.028',0.135
'0:00.032',0.140
'0:00.036',0.140
'0:00.040',0.133
'0:00.044',0.135
'0:00.048',0.142
'0:00.052',0.138
'0:00.056',0.140
'0:00.060',0.147
'0:00.064',0.158
'0:00.068',0.170
'0:00.072',0.175
'0:00.076',0.175
'0:00.080',0.168
'0:00.084',0.175
'0:00.088',0.190
'0:00.092',0.195
'0:00.096',0.220
'0:00.100',0.217
'0:00.104',0.217
'0:00.108',0.217
'0:00.112',0.220
'0:00.116',0.228
'0:00.120',0.237
'0:00.124',0.245
'0:00.128',0.263
'0:00.132',0.268
'0:00.136',0.282
'0:00.140',0.282
'0:00.144',0.282
'0:00.148',0.285
'0:00.152',0.280
'0:00.156',0.282
'0:00.160',0.292
'0:00.164',0.287
'0:00.168',0.280
'0:00.172',0.270
'0:00.176',0.263
'0:00.180',0.240
'0:00.184',0.228
'0:00.188',0.215
'0:00.192',0.217
'0:00.196',0.212
'0:00.200',0.215
'0:00.204',0.205
'0:00.208',0.185
'0:00.212',0.180
'0:00.216',0.188
'0:00.220',0.175
'0:00.224',0.177
'0:00.228',0.195
'0:00.232',0.177
'0:00.236',0.175
'0:00.240',0.170
'0:00.244',0.158
'0:00.248',0.160
'0:00.252',0.150
'0:00.256',0.150
'0:00.260',0.158
'0:00.264',0.172
'0:00.268',0.163
'0:00.272',0.150
'0:00.276',0.142
'0:00.280',0.140
'0:00.284',0.133
'0:00.288',0.138
'0:00.292',0.160
'0:00.296',0.158
'0:00.300',0.168
'0:00.304',0.165
'0:00.308',0.152
'0:00.312',0.147
'0:00.316',0.142
'0:00.320',0.142
'0:00.324',0.152
'0:00.328',0.160
'0:00.332',0.170
'0:00.336',0.170
'0:00.340',0.158
'0:00.344',0.160
'0:00.348',0.145
'0:00.352',0.147
'0:00.356',0.150
'0:00.360',0.150
'0:00.364',0.155
'0:00.368',0.160
'0:00.372',0.158
'0:00.376',0.147
'0:00.380',0.152
'0:00.384',0.152
'0:00.388',0.145
'0:00.392',0.150
'0:00.396',0.155
'0:00.400',0.158
'0:00.404',0.160
'0:00.408',0.158
'0:00.412',0.152
'0:00.416',0.145
'0:00.420',0.135
'0:00.424',0.128
'0:00.428',0.142
'0:00.432',0.160
'0:00.436',0.170
'0:00.440',0.152
'0:00.444',0.147
'0:00.448',0.138
'0:00.452',0.147
'0:00.456',0.152
'0:00.460',0.165
'0:00.464',0.182
'0:00.468',0.172
'0:00.472',0.172
'0:00.476',0.170
'0:00.480',0.158
'0:00.484',0.155
'0:00.488',0.168
'0:00.492',0.160
'0:00.496',0.168
'0:00.500',0.145
'0:00.504',0.142
'0:00.508',0.128
'0:00.512',0.122
'0:00.516',0.105
'0:00.520',0.105
'0:00.524',0.105
'0:00.528',0.102
'0:00.532',0.117
'0:00.536',0.125
'0:00.540',0.122
'0:00.544',0.130
'0:00.548',0.120
'0:00.552',0.110
'0:00.556',0.125
'0:00.560',0.130
'0:00.564',0.128
'0:00.568',0.133
'0:00.572',0.128
